"λ,n (nm)",n,k,Reference,Details
604.81506,2.2951732,0,,
606.401,2.2944279,0,,
607.9869,2.29369,0,,
609.57263,2.2929592,0,,
611.15845,2.2922356,0,,
612.7441,2.2915192,0,,
614.3297,2.2908094,0,,
615.9153,2.2901065,0,,
617.50073,2.2894106,0,,
619.0861,2.288721,0,,
620.6715,2.2880383,0,,
622.2567,2.2873616,0,,
623.8419,2.2866917,0,,
625.42706,2.286028,0,,
627.0121,2.2853703,0,,
628.59705,2.284719,0,,
630.18195,2.2840736,0,,
631.7668,2.2834342,0,,
633.3515,2.2828007,0,,
634.93616,2.282173,0,,
636.5208,2.2815511,0,,
638.10535,2.2809348,0,,
639.68976,2.2803242,0,,
641.2741,2.279719,0,,
642.85846,2.2791193,0,,
644.4426,2.278525,0,,
646.02673,2.2779362,0,,
647.6108,2.2773523,0,,
649.19476,2.276774,0,,
650.7787,2.2762005,0,,
652.3625,2.2756321,0,,
653.94617,2.275069,0,,
655.52985,2.2745106,0,,
657.1134,2.273957,0,,
658.6969,2.2734084,0,,
660.2803,2.2728643,0,,
661.8636,2.2723253,0,,
663.4468,2.2717907,0,,
665.0299,2.2712607,0,,
666.613,2.2707353,0,,
668.1959,2.2702143,0,,
669.7788,2.269698,0,,
671.3616,2.2691858,0,,
672.9443,2.268678,0,,
674.5269,2.2681744,0,,
676.1094,2.2676752,0,,
677.69183,2.26718,0,,
679.2742,2.266689,0,,
680.8564,2.266202,0,,
682.43854,2.2657192,0,,
684.0206,2.2652402,0,,
685.6026,2.2647653,0,,
687.18445,2.2642944,0,,
688.76624,2.263827,0,,
690.3479,2.2633636,0,,
691.9295,2.2629042,0,,
693.5109,2.2624483,0,,
695.09235,2.261996,0,,
696.67365,2.2615473,0,,
698.2548,2.2611024,0,,
699.83594,2.2606611,0,,
701.41693,2.2602232,0,,
702.99786,2.2597888,0,,
704.5786,2.2593577,0,,
706.1593,2.2589302,0,,
707.7399,2.258506,0,,
709.32043,2.2580853,0,,
710.90076,2.2576678,0,,
712.4811,2.2572534,0,,
714.0613,2.2568424,0,,
715.64136,2.2564344,0,,
717.2213,2.2560298,0,,
718.8012,2.255628,0,,
720.381,2.2552297,0,,
721.96063,2.2548342,0,,
723.54016,2.2544417,0,,
725.1196,2.2540524,0,,
726.699,2.253666,0,,
728.2782,2.2532823,0,,
729.8573,2.2529018,0,,
731.43634,2.2525241,0,,
733.01526,2.252149,0,,
734.594,2.251777,0,,
736.1727,2.2514076,0,,
737.7513,2.2510412,0,,
739.3297,2.2506773,0,,
740.9081,2.2503161,0,,
742.48627,2.2499578,0,,
744.0644,2.2496018,0,,
745.6424,2.2492487,0,,
747.2203,2.248898,0,,
748.79803,2.24855,0,,
750.3757,2.2482045,0,,
751.95325,2.2478614,0,,
753.53064,2.247521,0,,
755.108,2.2471828,0,,
756.6851,2.2468474,0,,
758.26215,2.246514,0,,
759.8391,2.2461834,0,,
761.4159,2.2458549,0,,
762.9926,2.2455287,0,,
764.5692,2.245205,0,,
766.1456,2.2448835,0,,
767.72205,2.2445643,0,,
769.2982,2.2442474,0,,
770.8743,2.2439327,0,,
772.45026,2.2436202,0,,
774.0261,2.2433097,0,,
775.6018,2.2430017,0,,
777.17737,2.2426956,0,,
778.75287,2.2423918,0,,
780.3282,2.24209,0,,
781.90344,2.2417903,0,,
783.47845,2.2414927,0,,
785.0534,2.241197,0,,
786.62823,2.2409036,0,,
788.20294,2.240612,0,,
789.77747,2.2403226,0,,
791.3519,2.240035,0,,
792.9262,2.2397494,0,,
794.50037,2.2394657,0,,
796.0744,2.239184,0,,
797.6483,2.2389042,0,,
799.22205,2.2386262,0,,
800.7957,2.2383502,0,,
802.3692,2.2380757,0,,
803.94257,2.2378035,0,,
805.51575,2.2375329,0,,
807.08887,2.237264,0,,
808.6618,2.236997,0,,
810.2346,2.2367318,0,,
811.8073,2.236468,0,,
813.3798,2.2362063,0,,
814.9523,2.2359462,0,,
816.52454,2.235688,0,,
818.0966,2.2354312,0,,
819.6686,2.2351763,0,,
821.2404,2.234923,0,,
822.81213,2.234671,0,,
824.38367,2.234421,0,,
825.9551,2.2341726,0,,
827.52637,2.2339258,0,,
829.0975,2.2336805,0,,
830.66846,2.2334368,0,,
832.23926,2.2331946,0,,
833.80994,2.232954,0,,
835.3805,2.2327151,0,,
836.95087,2.2324774,0,,
838.5211,2.2322414,0,,
840.0912,2.2320068,0,,
841.66113,2.2317739,0,,
843.23096,2.231542,0,,
844.8006,2.231312,0,,
846.37,2.2310834,0,,
847.93933,2.230856,0,,
849.5086,2.2306302,0,,
851.07764,2.2304058,0,,
852.6465,2.2301826,0,,
854.2152,2.229961,0,,
855.7838,2.2297406,0,,
857.35223,2.2295218,0,,
858.92053,2.229304,0,,
860.4886,2.2290878,0,,
862.0565,2.2288728,0,,
863.6244,2.2286592,0,,
865.192,2.228447,0,,
866.75946,2.228236,0,,
868.32684,2.2280262,0,,
869.8939,2.2278175,0,,
871.46106,2.2276103,0,,
873.02783,2.2274044,0,,
874.59454,2.2271998,0,,
876.161,2.2269962,0,,
877.7274,2.2267938,0,,
879.29364,2.2265928,0,,
880.8597,2.226393,0,,
882.4255,2.2261941,0,,
883.9912,2.2259967,0,,
885.5568,2.2258003,0,,
887.1222,2.2256052,0,,
888.6874,2.2254112,0,,
890.25244,2.2252183,0,,
891.81726,2.2250266,0,,
893.382,2.2248359,0,,
894.9466,2.2246463,0,,
896.5109,2.224458,0,,
898.0752,2.2242706,0,,
899.6393,2.2240844,0,,
