"λ,n (nm)",n,k,Reference,Details
1245,1.5142968,0.03143572,,
1250,1.5141258,0.03238929,,
1255,1.513955,0.03334286,,
1260,1.5137842,0.03429643,,
1265,1.5136132,0.03525,,
1270,1.5134424,0.03620357,,
1275,1.5132716,0.03715714,,
1280,1.5131006,0.03811071,,
1285,1.5129298,0.03906428,,
1290,1.512759,0.04001785,,
1295,1.512588,0.04097142,,
1300,1.5124172,0.041924987,,
