lda,n,k
0.386292835,2.266329299,0.320020963
0.389937107,2.24835708,0.304029105
0.393650794,2.22913717,0.292642155
0.397435897,2.214665744,0.284446675
0.401294498,2.198963281,0.282381807
0.405228758,2.18481315,0.276400266
0.409240924,2.177829526,0.276744684
0.413333333,2.17091484,0.27381103
0.417508418,2.161900465,0.276272654
0.421768707,2.152396908,0.280060846
0.426116838,2.147515812,0.284026243
0.430555556,2.147943541,0.283741047
0.435087719,2.147507597,0.287664424
0.439716312,2.153934109,0.287308731
0.444444444,2.155557239,0.287333945
0.449275362,2.163694029,0.285644025
0.454212454,2.171919416,0.283317525
0.459259259,2.181783715,0.277446931
0.464419476,2.191359033,0.267586553
0.46969697,2.19727396,0.256060824
0.475095785,2.200782125,0.241628052
0.480620155,2.205574646,0.227331874
0.48627451,2.210570636,0.210934258
0.492063492,2.210195529,0.196509872
0.497991968,2.206875265,0.181581294
0.504065041,2.207344916,0.165858383
0.510288066,2.200194277,0.149760685
0.516666667,2.194910453,0.133619457
0.523206751,2.18814059,0.124147462
0.52991453,2.178969266,0.111784825
0.536796537,2.171247126,0.099538021
0.543859649,2.161149645,0.091644957
0.551111111,2.153507476,0.078252889
0.558558559,2.147165237,0.072550667
0.566210046,2.135167514,0.065579818
0.574074074,2.128991779,0.058136524
0.582159624,2.120363393,0.050870951
0.59047619,2.111667267,0.047441217
0.599033816,2.101932178,0.042477622
0.607843137,2.091897789,0.036367436
0.616915423,2.090386002,0.032826359
0.626262626,2.08028309,0.029142656
0.635897436,2.072628061,0.025614797
0.645833333,2.063354079,0.023197157
0.656084656,2.059114756,0.019454058
0.666666667,2.05290231,0.018410055
0.677595628,2.046187739,0.014633834
0.688888889,2.039748826,0.014679484
0.700564972,2.032433985,0.010772531
0.712643678,2.025915184,0.011266691
0.725146199,2.019041372,0.00737443
0.738095238,2.014232825,0.005380463
0.751515152,2.010100233,0
0.765432099,2.006079873,0
0.779874214,2.001125464,0
0.794871795,1.99462981,0
0.810457516,1.992184739,0
0.826666667,1.985447228,0
0.843537415,1.978789701,0
0.861111111,1.975216627,0
0.879432624,1.972999275,0
0.898550725,1.969944704,0
0.918518519,1.965504232,0
0.939393939,1.962780653,0
0.96124031,1.956372803,0
0.984126984,1.956579232,0
1.008130081,1.95625886,0
1.033333333,1.9520957,0
1.05982906,1.947414914,0
1.087719298,1.948127193,0
1.117117117,1.94331264,0
1.148148148,1.943710585,0
1.180952381,1.938823824,0
1.215686275,1.938201878,0
1.252525253,1.935117542,0
1.291666667,1.93490641,0
1.333333333,1.92926056,0
1.377777778,1.92550265,0
1.425287356,1.925434045,0
1.476190476,1.925870677,0
1.530864198,1.921099655,0
1.58974359,1.921412636,0
1.653333333,1.918410605,0
1.722222222,1.916296732,0
1.797101449,1.916530829,0
1.878787879,1.916549529,0
1.968253968,1.915375359,0
